Federal Provider Number,CT Credential Number,Level of Care,FACILITY NAME,FACILITY TELEPHONE,ADDRESS,TOWN,COUNTY,STATE,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,New Georeferenced Column
,,CCNH,Apple Rehab Laurel Woods,(203) 466-6850,451 North High Street,East Haven,NEW_HAVEN,CT,For Profit,true,true,120,120,107,0,0,475,435,,,,,107,0,0,0,0,2,5,10,32,48,10,0,20,87,0,8,7,89,0,3,0,103,3,0,0,1,0,83,0,0,5,0,12,2,0,0,0,0,0,5,0,2015,POINT (-72.866922 41.292497)
,,CCNH,Quinnipiac Valley Center,(203) 265-6771,55 Kondracki Lane,Wallingford,NEW_HAVEN,CT,For Profit,true,true,180,180,107,0,0,414,391,,,,,107,0,1,0,4,5,16,26,24,25,6,0,46,61,0,19,35,35,0,18,0,95,9,2,0,1,0,76,3,0,7,0,9,0,0,0,0,0,4,5,3,2015,POINT (-72.811781 41.435947)
,,CCNH,Newington Rapid Recovery Rehab Center,(860) 667-2256,240 Church Street,Newington,HARTFORD,CT,For Profit,true,true,180,180,166,0,0,541.7,496.1,,,,,166,0,0,0,1,5,18,28,47,58,9,0,74,92,0,35,45,60,1,25,0,124,21,16,0,2,3,130,0,0,14,0,2,9,0,0,0,0,0,11,0,2018,POINT (-72.73936300000001 41.665919)
,,CCNH,Silver Springs Care Center,(203) 237-8457,33 Roy Street,Meriden,NEW_HAVEN,CT,For Profit,true,true,159,158,155,1,1,449,449,449,449,449,449,156,0,1,1,6,13,54,51,21,9,0,0,55,101,0,8,0,132,0,16,0,92,41,23,0,0,0,133,0,0,1,0,4,3,13,0,0,0,0,2,0,2017,POINT (-72.804701 41.525279)
,,CCNH,Blair Manor,(860) 749-8388,612 Hazard Avenue,Enfield,HARTFORD,CT,For Profit,true,true,98,98,59,0,0,,390,360,,,,59,0,0,0,0,0,4,11,17,18,9,0,15,44,0,11,10,25,0,13,0,57,2,0,0,0,0,49,0,0,0,0,1,1,0,0,0,0,0,6,2,2017,POINT (-72.506893 41.98519)
,,CCNH,Trinity Hill Care Center,(860) 951-1060,151 Hillside Avenue,Hartford,HARTFORD,CT,For Profit,true,true,144,144,141,0,0,435,408,,,,,141,0,0,4,9,36,51,27,11,3,0,0,98,43,0,9,100,7,3,22,0,44,35,59,0,2,1,135,0,0,3,0,3,0,0,0,0,0,0,0,0,2014,POINT (-72.698044 41.748736)
,,CCNH,Douglas Manor,(860) 423-4636,103 North Road,Windham,WINDHAM,CT,For Profit,true,true,90,90,81,0,0,405,385,,,,,81,0,0,0,0,0,0,8,25,41,7,0,26,55,0,18,8,48,0,7,0,79,1,1,0,0,0,42,0,0,2,0,18,5,0,0,0,0,0,14,0,2014,POINT (-72.163347 41.705233)
,,CCNH,Evergreen Health Care Center,(860) 684-6341,"205 Chestnut Hill Road, Route 190",Stafford Springs,TOLLAND,CT,For Profit,true,true,180,180,140,0,0,427,417,,,,,140,0,0,0,0,3,7,13,38,64,15,0,24,116,0,30,16,83,1,10,0,139,1,0,0,0,0,80,0,0,3,0,19,12,0,0,0,0,0,19,7,2015,
,,CCNH,Autumn Lake Healthcare at Norwalk,(203) 842-5700,34 Midrocks Road,Norwalk,FAIRFIELD,CT,For Profit,true,true,150,150,131,0,0,435,390,,,,,131,0,0,1,1,1,16,15,37,50,10,0,50,81,0,23,25,58,3,22,0,102,26,2,0,1,0,99,0,0,1,0,19,5,0,0,0,0,0,7,0,2017,POINT (-73.415254 41.142315)
,,CCNH/RHNS,Harbor View Manor,(203) 932-6411,308 Savin Avenue,West Haven,NEW_HAVEN,CT,For Profit,true,true,90,89,81,1,1,430,399,,430,399,,82,0,0,1,1,0,6,6,22,35,11,0,17,65,0,12,15,51,0,4,0,74,5,3,0,0,0,55,0,0,2,0,13,4,0,0,0,0,0,6,2,2013,POINT (-72.950838 41.260554)
75310,2387,CCNH,"Colonial Health and Rehab Center of Plainfield, LLC",(860) 564-4081,16 Windsor Avenue,Plainfield,WINDHAM,CT,For Profit,true,true,90,90,85,0,0,390,370,,,,,85,0,0,0,0,2,7,11,23,32,10,0,61,24,0,10,9,58,0,8,0,84,1,0,0,0,0,50,0,0,0,0,10,7,0,0,0,0,0,18,0,2019,POINT (-71.918016 41.681773)
,,CCNH,Bishop Wicke Health & Rehab Center,(203) 929-5321,584 Long Hill Avenue,Shelton,FAIRFIELD,CT,Non-profit,true,true,120,120,117,0,0,440,415,,,,,117,0,0,0,0,0,1,3,23,71,19,0,21,96,0,18,9,83,0,7,0,114,2,1,0,0,0,57,0,0,11,0,20,9,0,0,0,2,0,18,0,2018,POINT (-73.098403 41.281872)
,,CCNH,Maple View Health and Rehabilitation,(860) 563-2861,856 Maple Street,Rocky Hill,HARTFORD,CT,For Profit,true,true,120,120,107,0,0,454,412,,,,,107,0,0,0,0,2,3,11,32,52,7,0,26,81,0,18,22,56,1,10,0,99,2,3,0,0,3,72,0,0,10,0,11,5,0,0,0,0,0,9,0,2017,POINT (-72.666639 41.673965)
,,CCNH,"Wolcott Hall Nursing Center, Inc.",(860) 482-8554,215 Forest Street,Torrington,LITCHFIELD,CT,For Profit,true,true,87,87,54,0,0,443,422,402,,,,54,0,0,0,1,1,1,15,14,19,3,0,20,34,0,14,5,20,0,15,0,54,0,0,0,0,0,40,0,0,2,0,3,1,0,0,0,0,0,4,4,2015,POINT (-73.128142 41.80896)
,,CCNH,Riverside Health and Rehabilitation Center,(860) 289-2791,745 Main Street,East Hartford,HARTFORD,CT,For Profit,true,true,345,345,327,0,0,456,436,,,,,327,0,0,0,4,17,59,66,104,65,12,0,124,203,0,87,112,79,8,41,0,198,76,48,0,5,0,280,0,0,13,0,9,14,0,0,0,0,6,5,0,2017,POINT (-72.64546 41.766505)
,,CCNH,Masonicare Health Center,(203) 679-5900,22 Masonic Avenue,Wallingford,NEW_HAVEN,CT,Non-profit,true,true,382,382,376,0,0,449,403,380,,,,376,0,0,0,0,3,9,35,105,181,43,0,114,262,0,86,34,231,1,24,0,360,9,4,1,2,0,225,0,0,4,0,122,6,0,0,0,0,12,7,0,2013,POINT (-72.836586 41.460698)
,,CCNH,"New Milford Rehabilitation, LLC",(860) 355-0971,30 Park Lane East,New Milford,LITCHFIELD,CT,For Profit,true,true,148,148,139,0,0,450,450,,,,,139,0,0,0,1,5,5,12,35,61,20,0,41,98,0,30,13,69,2,25,0,134,1,0,0,0,4,0,92,0,9,0,18,6,2,0,0,0,0,12,0,2017,POINT (-73.401447 41.59753)
,,CCNH,Kimberly Hall North,(860) 688-6443,1 Emerson Drive,Windsor,HARTFORD,CT,For Profit,true,true,150,150,135,0,0,380,353,,,,,135,0,0,0,0,0,6,14,37,61,17,0,39,96,0,25,17,76,0,17,0,100,24,9,0,2,0,95,0,0,5,0,8,1,0,0,0,0,0,26,0,2016,POINT (-72.666767 41.837832)
,,CCNH,Beechwood Rehabilitation & Nursing Center,(860) 442-4363,31 Vauxhall Street,New London,NEW_LONDON,CT,For Profit,true,true,60,60,57,0,0,356,324,,,,,57,0,0,0,0,2,4,3,13,26,9,0,18,39,0,9,8,35,0,5,0,48,6,2,0,1,0,21,0,0,1,0,19,3,0,0,0,0,0,11,2,2013,POINT (-72.104438 41.361035)
,,CCNH,Saint John Paul II Center,(203) 797-9300,33 Lincoln Avenue,Danbury,FAIRFIELD,CT,For Profit,true,true,141,141,134,0,0,375,350,,,,,134,0,1,0,1,6,23,15,33,43,12,0,59,75,0,26,23,51,0,24,10,120,8,5,0,1,0,104,0,0,7,0,9,0,0,0,0,1,1,12,0,2016,POINT (-73.454729 41.384584)
,,CCNH,Branford Hills Health Care Center,(203) 481-6221,189 Alps Road,Branford,NEW_HAVEN,CT,For Profit,true,true,190,190,180,0,0,510,425,,,,,180,0,0,0,0,0,6,23,35,92,24,0,57,123,0,31,24,109,0,16,0,173,4,1,0,2,0,131,0,0,8,0,16,7,0,0,0,0,0,18,0,2017,POINT (-72.846696 41.264185)
,,CCNH,Montowese Health & Rehabilitation Center,(203) 624-3303,163 Quinnipiac Avenue,North Haven,NEW_HAVEN,CT,For Profit,true,true,120,120,116,0,0,490,440,,,,,116,0,0,1,0,7,26,29,22,24,7,0,47,69,0,24,33,36,2,21,0,91,19,6,0,0,0,46,0,0,4,0,40,15,0,0,0,0,6,5,0,2018,POINT (-72.863569 41.346922)
75324,2318,CCNH,Bayview Health Care,(860) 444-1175,301 Rope Ferry Road,Waterford,NEW_LONDON,CT,For Profit,true,true,127,127,120,0,0,505,495,,,,,120,0,1,0,0,3,10,23,31,42,10,0,36,84,0,23,21,59,3,14,0,107,6,6,1,0,0,86,0,0,4,0,12,6,0,0,0,0,1,11,0,2019,POINT (-72.165413 41.327443)
,,CCNH,"Villa Maria Nursing and Rehabilitation Community, Inc.",(860) 564-3387,20 Babcock Avenue,Plainfield,WINDHAM,CT,For Profit,true,true,62,62,54,0,0,325,295,270,,,,54,0,0,0,0,1,0,8,20,19,6,0,9,45,0,9,4,39,0,2,0,54,0,0,0,0,0,35,0,0,4,0,5,0,0,0,0,0,0,10,0,2014,POINT (-71.917758 41.678696)
,,CCNH,Jefferson House,(860) 667-4453,1 John H. Stewart Drive,Newington,HARTFORD,CT,Non-profit,true,true,104,104,102,0,0,478,449,,,,,102,0,0,0,0,0,2,10,21,48,21,0,19,83,0,20,12,66,0,4,0,99,2,0,0,0,1,60,0,0,4,0,21,4,0,0,0,0,0,13,0,2016,POINT (-72.71406100000002 41.696009)
,,CCNH,Beacon Brook Health Center,(203) 729-9889,89 Weid Drive,Naugatuck,NEW_HAVEN,CT,For Profit,true,true,126,126,118,0,0,507,492,,,,,118,0,0,1,0,5,9,19,26,47,11,0,31,87,0,18,22,66,0,12,0,103,10,5,0,0,0,88,0,0,11,0,14,2,0,0,0,0,1,2,0,2016,POINT (-73.031936 41.469642)
,,CCNH,Wolcott View Manor,(203) 879-8066,50 Beach Road,Wolcott,NEW_HAVEN,CT,For Profit,true,true,129,129,96,0,0,346,316,,,,,96,0,0,0,1,1,5,17,24,38,10,0,32,64,0,22,13,51,1,9,0,87,4,3,0,1,1,65,0,0,8,0,4,9,0,0,0,0,10,0,0,2016,POINT (-72.989834 41.605219000000005)
,,CCNH,Maefair Health Care Center,(203) 459-5152,21 Maefair Court,Trumbull,FAIRFIELD,CT,For Profit,true,true,134,134,131,0,0,526,514,,,,,131,0,0,0,2,7,7,14,31,55,15,0,46,85,0,17,30,61,1,22,0,83,35,12,0,1,0,99,0,0,9,0,9,5,0,0,0,0,1,8,0,2016,POINT (-73.194834 41.236378)
,,CCNH,Geer Nursing and Rehabilitation Center,(860) 824-5137,99 South Canaan Road,Canaan,LITCHFIELD,CT,Non-profit,true,true,120,120,103,0,0,475,405,,,,,103,0,0,0,0,0,7,12,30,40,14,0,28,75,0,18,13,62,0,10,0,102,0,1,0,0,0,61,2,0,11,0,0,11,0,0,0,0,3,15,0,2013,POINT (-73.33247100000001 42.016475)
,,CCNH,Apple Rehab Coccomo,(203) 238-1606,33 Cone Avenue,Meriden,NEW_HAVEN,CT,For Profit,true,true,100,100,87,0,0,447,398,,,,,87,0,0,0,0,0,11,8,22,32,14,0,28,59,0,14,11,47,4,11,0,65,2,13,0,0,7,64,0,0,4,0,6,3,0,0,0,0,3,7,0,2018,POINT (-72.752952 41.524968)
,,CCNH,"Wolcott Hall Nursing Center, Inc.",(860) 482-8554,215 Forest Street,Torrington,LITCHFIELD,CT,For Profit,true,true,87,87,60,0,0,430,410,390,,,,60,0,0,0,0,0,7,9,18,19,7,0,33,27,0,10,10,40,0,0,0,60,0,0,0,0,0,46,0,0,2,0,7,1,0,0,0,0,0,4,0,2013,POINT (-73.128142 41.80896)
75318,2033C,CCNH,Pomperaug Woods Health Center,(203) 262-6555,80 Heritage Road,Southbury,NEW_HAVEN,CT,Non-profit,true,false,37,37,30,0,0,539,476,,,,,30,0,0,0,0,0,0,0,1,19,10,0,7,23,0,6,2,18,0,4,0,30,0,0,0,0,0,0,0,0,0,0,2,1,0,24,0,0,0,3,0,2019,POINT (-73.217482 41.482196)
,,CCNH,Cambridge Manor,(203) 372-0313,2428 Easton Turnpike,Fairfield,FAIRFIELD,CT,For Profit,true,true,160,160,145,0,0,489,465,,,,,145,0,0,0,0,1,5,19,30,72,18,0,39,106,0,27,31,77,1,9,0,132,9,3,0,1,0,90,0,0,10,0,14,15,0,0,0,0,0,13,3,2015,POINT (-73.246284 41.211641)
75404,2142C,CCNH,Maefair Health Care Center,(203) 459-5152,21 Maefair Court,Trumbull,FAIRFIELD,CT,For Profit,true,true,134,134,131,0,0,606,594,,,,,131,0,1,0,2,2,12,28,35,38,13,0,36,95,0,23,33,51,2,22,0,64,53,14,0,0,0,99,0,0,8,0,8,7,0,0,0,0,3,6,0,2019,POINT (-73.194834 41.236378)
,,CCNH,Cambridge Health and Rehabilitation Center,(203) 372-0313,2428 Easton Turnpike,Fairfield,FAIRFIELD,CT,For Profit,true,true,160,160,157,0,0,484,460,,,,,157,0,0,1,0,2,8,14,35,77,20,0,35,122,0,33,25,86,0,13,0,145,7,3,0,1,1,95,0,0,14,0,13,15,0,0,0,0,0,19,1,2013,POINT (-73.246284 41.211641)
,,CCNH,St. Joseph's Center,(203) 268-6204,6448 Main Street,Trumbull,FAIRFIELD,CT,For Profit,true,true,274,274,257,0,0,510,460,,,,,257,0,0,0,2,7,23,34,71,88,32,0,75,182,0,37,61,114,2,43,0,196,30,13,1,1,16,196,0,0,12,0,24,6,0,0,0,0,6,13,0,2015,POINT (-73.226931 41.27423)
,,CCNH,Golden Hill Health Care Center,(203) 877-0371,2028 Bridgeport Avenue,Milford,NEW_HAVEN,CT,For Profit,true,true,120,120,103,0,0,465,410,370,,,,103,0,0,1,0,2,9,20,25,36,10,0,41,62,0,20,13,49,2,19,0,87,12,4,0,0,0,72,0,0,0,0,9,5,11,0,0,0,1,5,0,2014,POINT (-73.066793 41.21709)
,,CCNH,Saint John Paul II Center,(203) 797-9300,33 Lincoln Avenue,Danbury,FAIRFIELD,CT,For Profit,true,true,141,141,131,0,0,400,375,,,,,131,0,1,0,0,7,23,19,35,36,10,0,59,72,0,32,27,46,0,26,0,114,8,7,0,2,0,111,0,0,5,0,4,2,0,0,0,0,1,8,0,2017,POINT (-73.454729 41.384584)
,,CCNH,Glendale Center,(203) 723-1456,4 Hazel Avenue,Naugatuck,NEW_HAVEN,CT,For Profit,true,true,120,120,102,0,0,490,440,,,,,102,0,0,0,0,7,13,20,46,15,1,0,27,75,0,18,22,41,0,21,0,100,1,1,0,0,0,77,0,0,4,0,8,8,0,0,0,0,3,2,0,2018,POINT (-73.036733 41.469038)
,,CCNH,Astoria Park,(203) 366-3653,725 Park Avenue,Bridgeport,FAIRFIELD,CT,For Profit,true,true,135,135,109,0,0,281,271,251,,,,109,0,0,0,1,3,17,25,27,31,5,0,39,70,0,17,35,34,4,19,0,41,44,24,0,0,0,92,0,0,0,0,8,3,0,0,0,0,0,2,4,2014,POINT (-73.19634900000001 41.171871)
,,CCNH,Prospect ECHN ElderCare Serv. dba Woodlake at Tolland,(860) 896-3289,26 Shenipsit Lake Road,Tolland,TOLLAND,CT,For Profit,true,true,130,130,122,0,0,465,429,,,,,122,0,0,0,1,2,2,15,28,58,16,0,31,91,0,35,14,58,0,15,0,120,0,0,0,2,0,68,0,0,10,0,21,2,0,0,3,0,3,15,0,2017,POINT (-72.414389 41.871808)
,,CCNH,Autumn Lake Healthcare at Cromwell,(860) 635-5613,385 Main Street,Cromwell,MIDDLESEX,CT,For Profit,true,true,175,175,118,0,0,401.47,375,,,,,118,0,0,2,0,6,22,34,16,37,1,0,56,62,0,21,33,18,1,45,0,92,16,9,0,0,1,100,0,0,0,0,7,3,0,0,0,0,0,8,0,2018,POINT (-72.646205 41.600635)
,,CCNH,"Whitney Manor Convalescent Center, Inc.",(203) 288-6230,2798 Whitney Avenue,Hamden,NEW_HAVEN,CT,For Profit,true,true,150,150,129,0,0,415,390,,,,,129,0,0,0,0,1,5,1,28,79,15,0,32,97,0,11,17,85,2,14,0,119,7,2,0,1,0,80,0,0,3,0,23,3,0,0,1,3,0,14,2,2014,POINT (-72.897242 41.398068)
,,CCNH,Westport Rehabilitation Complex,(203) 226-4201,1 Burr Road,Westport,FAIRFIELD,CT,For Profit,true,true,99,99,93,0,0,579.9,520.63,,,,,93,0,0,0,1,2,3,40,12,35,0,0,43,50,0,3,22,68,0,0,0,78,9,4,2,0,0,83,0,0,1,0,8,1,0,0,0,0,0,0,0,2018,POINT (-73.367176 41.136945)
,,CCNH,Middlesex Health Care Center,(860) 344-0353,100 Randolph Road,Middletown,MIDDLESEX,CT,For Profit,true,true,150,150,131,0,0,494,464,,,,,131,0,0,1,0,0,3,10,82,25,10,0,45,86,0,14,15,94,0,8,0,122,8,1,0,0,0,97,0,0,8,0,10,2,6,0,0,0,0,3,5,2015,POINT (-72.616498 41.534852)
,,CCNH,CT Watermark at East Hill-Springs,(203) 262-6868,611 East Hill Road,Southbury,NEW_HAVEN,CT,For Profit,true,false,35,35,22,0,0,475,425,,,,,22,0,0,0,0,0,0,1,6,12,3,0,2,20,0,6,2,11,0,3,0,18,0,0,0,0,4,0,0,0,0,0,6,0,0,13,0,0,0,3,0,2017,POINT (-73.241049 41.485015)
,,CCNH,Marlborough Health and Rehabilitation Center,(860) 295-9531,85 Stage Harbor Road,Marlborough,HARTFORD,CT,For Profit,true,true,120,120,100,0,0,480,420,,,,,100,0,0,0,0,2,8,14,29,31,16,0,37,63,0,19,10,59,0,12,0,96,1,3,0,0,0,62,0,0,8,0,8,11,0,0,0,0,0,11,0,2016,POINT (-72.476829 41.652591)
75295,2242,CCNH/RHNS,"Miller Memorial Community, Inc.",(203) 237-8815,360 Broad Street,Meriden,NEW_HAVEN,CT,Non-profit,true,true,90,85,69,5,0,455,420,,355,355,,69,0,0,0,0,3,4,12,17,25,8,0,15,54,0,19,7,31,0,12,0,55,5,9,0,0,0,49,0,0,6,0,3,3,0,0,0,0,0,8,0,2019,POINT (-72.795275 41.530336)
,,CCNH,Avalon Health Center,(860) 572-5613,186 Jerry Browne Road,Mystic,NEW_LONDON,CT,For Profit,true,false,40,40,38,0,0,480,430,,,,,38,0,0,0,0,0,0,1,9,22,6,0,11,27,0,14,1,22,0,1,0,38,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,27,0,2016,POINT (-71.949571 41.37512000000001)
,,CCNH,Apple Rehab Middletown (dba Highview Health Care Center),(860) 347-3315,600 Highland Avenue,Middletown,MIDDLESEX,CT,For Profit,true,true,70,70,60,0,0,421,395,,,,,60,0,0,0,0,1,2,6,10,30,11,0,15,45,0,8,6,37,0,9,0,55,5,0,0,0,0,32,0,0,4,0,17,0,0,0,0,0,1,6,0,2015,POINT (-72.654814 41.532381)
,,CCNH,"Monsignor Bojnowski Manor, Inc",(860) 229-0336,50 Pulaski Street,New Britain,HARTFORD,CT,Non-profit,true,true,60,60,49,0,0,390,375,,,,,49,0,0,0,0,0,0,4,7,29,9,0,9,40,0,4,8,36,0,1,0,48,1,0,0,0,0,24,0,0,3,0,7,1,0,0,0,0,0,14,0,2017,POINT (-72.798371 41.675475)
,,CCNH,Water's Edge Center for Health and Rehabilitation,(860) 347-7286,111 Church Street,Middletown,MIDDLESEX,CT,For Profit,true,true,150,150,128,0,0,456,439,,,,,128,0,0,0,0,5,16,28,31,39,9,0,44,84,0,19,27,56,3,20,3,107,17,4,0,0,0,97,0,0,3,0,14,1,0,0,0,0,2,6,5,2015,POINT (-72.65167500000001 41.555227)
,,CCNH,Arden House,(203) 281-3500,850 Mix Avenue,Hamden,NEW_HAVEN,CT,For Profit,true,true,360,360,281,0,0,448,443,,,,,281,0,0,0,1,4,39,64,69,80,24,0,92,189,0,41,59,117,2,54,8,163,88,25,2,2,1,247,0,0,11,0,8,3,0,0,1,0,0,11,0,2016,POINT (-72.920536 41.375964)
,,CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,23 Fair Street,Forestville,HARTFORD,CT,For Profit,true,true,120,120,92,0,0,375,348,321,,,,92,0,0,2,1,6,18,15,22,22,6,0,48,44,0,21,19,37,9,6,0,84,4,3,1,0,0,63,0,0,4,0,12,0,8,0,0,1,0,3,1,2014,POINT (-72.902506 41.679856)
,,CCNH,Hebrew Center for Health and Rehabilitation,(860) 523-3800,One Abrahms Boulevard,West Hartford,HARTFORD,CT,For Profit,true,true,257,257,245,0,0,440,420,,,,,245,0,0,0,0,1,8,23,65,111,37,0,58,187,0,56,33,118,4,34,0,164,31,5,0,2,43,162,0,0,6,0,24,2,13,0,0,0,2,36,0,2015,
,,CCNH,Harbor Village North,(860) 447-1416,78 Viets Street,New London,NEW_LONDON,CT,For Profit,true,true,128,128,104,0,0,436,425,399,,,,104,0,0,0,1,4,20,38,25,15,1,0,43,61,0,14,38,25,1,26,0,83,11,6,0,1,3,83,0,0,5,0,9,0,0,0,0,0,2,2,3,2015,POINT (-72.11074 41.338131)
,,CCNH,"Rose Haven, Ltd.",(860) 567-9475,"33 North Street,  P.O. Box 157",Litchfield,LITCHFIELD,CT,For Profit,true,true,25,25,21,0,0,441,428,386,,,,21,0,0,0,0,0,0,0,6,12,3,0,4,17,0,4,3,13,1,0,0,21,0,0,0,0,0,7,0,0,0,0,8,2,0,0,0,0,0,4,0,2017,POINT (-72.718334 41.497878)
,,CCNH,RegalCare at Waterbury,(203) 707-5816,177 Whitewood Road,Waterbury,NEW_HAVEN,CT,For Profit,true,true,120,120,103,0,0,376,353,335,,,,103,0,0,2,2,6,25,20,15,30,3,0,46,57,0,7,43,33,0,20,0,78,14,10,0,1,0,87,0,0,4,0,9,1,0,0,0,0,0,2,0,2015,POINT (-73.081309 41.576911)
,,CCNH,"Carolton Chronic & Convalescent Hospital, Inc.",(203) 255-3573,400 Mill Plain Road,Fairfield,FAIRFIELD,CT,For Profit,true,true,229,229,168,0,0,513,447,,,,,168,0,0,0,0,0,7,17,32,90,22,0,42,126,0,36,15,102,1,14,0,159,5,2,0,2,0,80,0,0,5,0,32,4,0,0,0,4,4,39,0,2015,POINT (-73.265827 41.14486)
,,CCNH,"LiveWell (formerly Alzheimer's Resource Center of Connecticut, Inc.)",(860) 628-9000,1261 South Main Street,Plantsville,HARTFORD,CT,Non-profit,true,true,120,120,116,0,0,,546,,,,,116,0,0,0,0,2,6,17,49,39,3,0,40,76,0,43,6,47,0,16,4,112,1,2,1,0,0,75,0,0,0,0,3,1,0,0,1,8,0,28,0,2017,POINT (-72.89584700000002 41.57315800000001)
,,CCNH,Saint John Paul II Center,(203) 797-9300,33 Lincoln Avenue,Danbury,FAIRFIELD,CT,For Profit,true,true,141,141,131,0,0,375,350,,,,,131,0,0,0,0,3,17,24,33,40,14,0,51,80,0,26,24,61,0,20,0,115,9,5,0,1,1,104,0,0,4,0,15,3,0,0,0,0,1,4,0,2015,POINT (-73.454729 41.384584)
,,CCNH,"Windsor Health and Rehabilitation Center, LLC",(860) 688-7211,581 Poquonock Avenue,Windsor,HARTFORD,CT,For Profit,true,true,108,108,86,0,0,456,424,,,,,86,0,0,0,1,6,18,13,18,20,10,0,32,54,0,16,5,55,0,10,0,54,25,4,0,1,2,64,0,0,3,0,8,4,0,0,0,0,1,6,0,2015,POINT (-72.658685 41.86911)
,,CCNH,Twin Maples Health Care Facility,(860) 349-1041,"809 R New Haven Road,  P.O. Box 423",Durham,MIDDLESEX,CT,For Profit,true,true,44,44,38,0,0,,350,,,,,38,0,0,0,0,1,7,8,9,9,4,0,9,29,0,3,7,15,0,13,0,37,1,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,2018,POINT (-72.720881 41.436968)
,,CCNH,Mansfield Center for Nursing & Rehabilitation,(860) 487-2300,100 Warren Circle,Storrs,TOLLAND,CT,Non-profit,true,true,98,98,93,0,0,415,395,,,,,93,0,0,0,0,1,5,6,25,46,10,0,68,25,0,28,4,51,0,10,0,90,1,1,0,1,0,49,0,0,2,0,18,3,0,0,1,4,2,14,0,2015,POINT (-72.253088 41.791899)
,,CCNH,Bishop Wicke Health Center,(203) 929-5321,584 Long Hill Avenue,Shelton,FAIRFIELD,CT,Non-profit,true,true,120,120,113,0,0,440,415,,,,,113,0,0,0,0,1,1,5,26,65,15,0,20,93,0,20,5,78,1,9,0,111,1,1,0,0,0,46,0,0,11,0,25,21,0,0,0,0,0,10,0,2014,POINT (-73.098403 41.281872)
75057,2452,CCNH,Skyview Rehab and Nursing,(203) 265-0981,35 Marc Drive,Wallingford,NEW_HAVEN,CT,For Profit,true,true,97,97,81,0,0,453,438,,,,,81,0,0,1,0,4,17,18,18,16,2,5,31,45,5,14,37,18,1,6,5,62,6,5,0,3,5,60,0,0,6,0,8,2,0,0,0,0,0,0,5,2019,POINT (-72.846279 41.453355)
,,CCNH,Southington Care Center,(860) 378-1223,45 Meriden Avenue,Southington,HARTFORD,CT,Non-profit,true,true,130,130,127,0,0,499,465,,,,,127,0,0,0,0,2,2,14,23,65,21,0,29,98,0,26,10,75,0,16,0,126,0,1,0,0,0,64,0,0,4,0,23,11,0,0,0,2,2,21,0,2015,POINT (-72.876623 41.59615)
,,CCNH,Fairview,(860) 445-7478,235 Lestertown Road,Groton,NEW_LONDON,CT,Non-profit,true,true,120,120,115,0,0,382,340.35,,,,,115,0,0,0,0,1,4,9,24,58,19,0,31,84,0,8,5,96,0,6,0,109,3,1,1,1,0,58,0,0,2,0,12,1,0,0,0,5,6,31,0,2015,POINT (-72.083057 41.372077)
75434,2449,CCNH,Orange Healthcare Rehabilitation Center,(203) 795-0835,225 Boston Post Road,Orange,NEW_HAVEN,CT,For Profit,true,true,60,60,55,0,0,416,395,,,,,55,0,0,0,0,0,1,3,33,16,2,0,19,36,0,6,11,33,1,4,0,43,6,4,0,1,1,36,0,0,2,0,7,2,0,0,0,0,1,7,0,2019,POINT (-72.998279 41.269422)
75332,1070C,CCNH,Valerie Manor,(860) 489-1008,1360 Torringford Street,Torrington,LITCHFIELD,CT,For Profit,true,true,151,151,148,0,0,572,550,,,,,148,0,0,0,0,1,13,26,42,54,12,0,46,102,0,44,16,59,1,28,0,146,0,1,0,0,1,98,0,0,10,0,18,11,0,0,0,0,1,10,0,2019,POINT (-73.079132 41.827508)
,,CCNH,Meriden Center,(203) 238-2645,845 Paddock Avenue,Meriden,NEW_HAVEN,CT,For Profit,true,true,130,130,100,0,0,487.5,437.5,,,,,100,0,0,0,1,7,12,23,28,22,7,0,38,62,0,14,27,37,2,20,0,80,5,15,0,0,0,85,0,0,5,0,3,3,0,0,0,0,0,4,0,2018,POINT (-72.777296 41.50681)
