FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,LIC_EXPIRES,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,ADMIN,TITLE,RunDate,HospBedTotal
NJ22912,AMBULATORY CARE FACILITY,22912,HUDSON RIVER RADIOLOGY,HUDSON RIVER RADIOLOGY,"550 NEWARK AVENUE, UNIT 102", ,JERSEY CITY,NJ,07306,"JERSEY CITY, NJ  07306",HUDSON,(201) 239-1250,(201) 488-7331,victor@JALOUDILAW.COM,12/31/2020,HUDSON RIVER RADIOLOGY CENTER LLC,120-152 48TH STREET,"UNION CITY, NJ  07087",Profit - Individual,Mr. FERAS JALOUDI,,6/17/2020,
NJ90068,SURGICAL PRACTICE,R24598,HUDSON TERRACE MEDICAL,"HUDSON TERRACE MEDICAL, PA",464 HUDSON TERRACE  SUITE # 102, ,ENGLEWOOD CLIFFS,NJ,07632,"ENGLEWOOD CLIFFS, NJ  07632",BERGEN,(201) 503-0923,(201) 503-0190,tomhmoon@aol.com,4/30/2020,"HUDSON TERRACE MEDICAL, PA",464 HUDSON TERRACE #102,"ENGLEWOOD CLIFFS, NJ  07632",Profit - Partnership,Dr. TAEWON MOON,,6/17/2020,
NJ1331,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1331,HUMC CARDIOVASCULAR PARTNERS,HUMC CARDIOVASCULAR PARTNERS,400 FRANK W BURR BOULEVARD, ,TEANECK,NJ,07666,"TEANECK, NJ  07666",BERGEN,(551) 996-2000,(551) 996-0778,,10/31/2020,HMH HOSPITALS CORPORATION,343 THORNALL STREET 8TH FL,"EDISON, NJ  08837",Non-Profit - Hospital,Mr. MARK SPARTA,,6/17/2020,
NJ25126,AMBULATORY CARE FACILITY,25126,HUNTERDON ADVANCED IMAGING AT BRIDGEWATER,HUNTERDON ADVANCED IMAGING AT BRIDGEWATER,1121 ROUTE 22 WEST, ,BRIDGEWATER,NJ,08807,"BRIDGEWATER, NJ  08807",SOMERSET,(908) 788-6152,          ,,6/30/2021,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",Non-Profit - Hospital,Mr. PATRICK GAVIN,,6/17/2020,
NJ31C0001052,AMBULATORY SURGICAL CENTER,80336,HUNTERDON CENTER FOR SURGERY,HUNTERDON CENTER FOR SURGERY,"9100 WESCOTT DRIVE, SUITE 201", ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 806-7017,(908) 806-2838,lyork@hhsnj.org,12/31/2020,"HUNTERDON CENTER FOR SURGERY, LLC","9100 WESCOTT DRIVE, SUITE 201","FLEMINGTON, NJ  08822",,Ms. LISA YORK,,6/17/2020,
NJ31C0001114,AMBULATORY SURGICAL CENTER,22545,"HUNTERDON ENDOSURGERY CENTER, INC.","HUNTERDON ENDOSURGERY CENTER, INC",1100 WESCOTT DRIVE  -  SUITE 204, ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 788-6448,(908) 788-5090,jkelly@hhsnj.org,3/31/2021,"HUNTERDON ENDOSURGERY CENTER, INC.","1100 WESCOTT DRIVE, SUITE 204","FLEMINGTON, NJ  08822",,Dr. GILBERT CARDOSO,,6/17/2020,
NJ71071,AMBULATORY CARE FACILITY,71071,HUNTERDON FAMILY MEDICINE AT DELAWARE,HUNTERDON FAMILY MEDICINE AT DELAWARE,200 FRENCHTOWN ROAD, ,MILFORD,NJ,08848,"MILFORD, NJ  08848",HUNTERDON,(908) 995-2251,(908) 995-2036,jcreager@hhsnj.org,3/31/2021,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",Non-Profit - LLC,Dr. CARLA JARDIM,,6/17/2020,
NJ22233,AMBULATORY CARE FACILITY,22233,HUNTERDON FAMILY MEDICINE AT PHILLIPS-BARBER,HUNTERDON FAMILY MEDICINE AT PHILLIPS-BARBER,72 ALEXANDER AVENUE, ,LAMBERTVILLE,NJ,08530,"LAMBERTVILLE, NJ  08530",HUNTERDON,(609) 397-3535,(609) 397-0301,Pbehot@hhsnj.org,3/31/2021,HUNTERDON MEDICAL CENTER,2100 WESTCOTT DRIVE,"FLEMINGTON, NJ  08822",,Dr. JOHN WATERS,,6/17/2020,
NJ22704,HOSPICE CARE PROGRAM,22704,HUNTERDON HOSPICE,HUNTERDON HOSPICE INC,215 ROUTE 31, ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 788-6600,(908) 788-6651,mdoyle@hhsnj.org,5/31/2021,HUNTERDON HOSPICE,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",,Ms. MARGARET DOYLE,R.N.,6/17/2020,
NJ22486,AMBULATORY CARE FACILITY,23383,"HUNTERDON IMAGING, P.A.","HUNTERDON IMAGING, PA","2100 WESCOTT DRIVE, MRI SUITE", ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 788-6451,(908) 788-7292,heidi@hunterdonradiology.com,12/31/2020,"HUNTERDON IMAGING, PA","1 DOGWOOD DRIVE, POST OFFICE BOX 5388","CLINTON, NJ  08809",,Ms. KAREN MCMAHON,,6/17/2020,
NJ11001,GENERAL ACUTE CARE HOSPITAL,11001,HUNTERDON MEDICAL CENTER,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE, ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 788-6100,(908) 788-6111,wise.robert@hunterdonhealthcare.org,7/31/2020,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",Non-Profit - Hospital,Mr. PATRICK GAVIN,,6/17/2020,184
NJ317043,HOME HEALTH AGENCY,22421,HUNTERDON MEDICAL CENTER HOME HEALTH SERVICES,HUNTERDON MEDICAL CENTER HOME HEALTH,2100 WESCOTT DRIVE, ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 788-6138,(908) 788-6549,mlinsenman@hhsnj.org,1/31/2021,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",Non-Profit - LLC,. CHRISTINE MENY,,6/17/2020,
NJ23145,AMBULATORY CARE FACILITY,23145,HUNTERDON ORTHOPEDIC INSTITUTE,HUNTERDON ORTHOPEDIC INSTITUTE,"8100 WESTCOTT DRIVE, SUITE 102", ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 782-0600,(908) 782-3007,dmount@hunterdonortho.com,3/31/2021,HUNTERDON ORTHOPEDIC SPECIALISTS,"8100 WESCOTT DRIVE, SUITE 102","FLEMINGTON, NJ  08822",Profit - Corporation,Mr. DENNIS MOUNT,,6/17/2020,
NJ23383,AMBULATORY CARE FACILITY,22486,"HUNTERDON RADIOLOGICAL ASSOCIATES, PA","HUNTERDON RADIOLOGICAL ASSOCIATES, PA",1 DOGWOOD DRIVE - PO BOX 5388, ,CLINTON,NJ,08809,"CLINTON, NJ  08809",HUNTERDON,(908) 735-4477,(908) 735-6532,heidi@hunterdonradiology.com,1/31/2021,HUNTERDON RADIOLOGICAL ASSOCIATES PA,1 DOGWOOD DRIVE,"CLINTON, NJ  08809",Profit - Corporation,Ms. KAREN MCMAHON,,6/17/2020,
NJ1218,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1218,HUNTERDON WOUND HEALING CENTER,HUNTERDON WOUND HEALING CENTER,"9100 WESCOTT DRIVE, SUITE 203", ,FLEMINGTON,NJ,08822,"FLEMINGTON, NJ  08822",HUNTERDON,(908) 237-6950,(908) 237-6955,Lgrand@hhsnj.org,7/31/2020,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,"FLEMINGTON, NJ  08822",Non-Profit - LLC,Mr. PATRICK GAVIN,,6/17/2020,
NJ22968,AMBULATORY CARE FACILITY,22968,IMAGECARE,IMAGECARE,120 MILLBURN AVENUE, ,MILLBURN,NJ,07041,"MILLBURN, NJ  07041",ESSEX,(973) 376-0900,(973) 376-0010,southmtimaging@aol.com,10/31/2020,CENTER FOR ADVANCED IMAGING LLC,"57 US 46, #212","HACKETTSTOWN, NJ  07041",,Dr. JEFFREY BLONSTEIN,,6/17/2020,
NJ25083,AMBULATORY CARE FACILITY,25083,IMAGECARE CENTER AT SPARTA,IMAGECARE CENTER AT SPARTA,376 LAFAYETTE ROAD, ,SPARTA,NJ,07871,"SPARTA, NJ  07871",SUSSEX,(973) 729-0002,(973) 383-0563,terriek@imagecarecenters.com,10/31/2020,"NEWTON IMAGING, PA","222 HIGH STREET, SUITE 101","NEWTON, NJ  07860",Profit - Corporation,Ms. CONNIE PERNA,,6/17/2020,
NJ24241,AMBULATORY CARE FACILITY,24241,"IMAGING SUB-SPECIALISTS OF NORTH JERSEY, LLC",IMAGING SUB-SPECIALIST OF NORTH JERSEY LLC,504 VALLEY ROAD, ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 317-5780,(973) 317-5781,matarazg@sjhmc.org,11/30/2020,IMAGING SUB-SPECIALISTS OF NORTH JERSEY LLC,504 VALLEY ROAD,"WAYNE, NJ  07470",Profit - LLC,Dr. EDWARD MILMAN,,6/17/2020,
NJ1335,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1335,INSPIRA CARDIOVASCULAR SERVICES WEST DEPTFORD,INSPIRA CARDIOVASCULAR SERVICES  WEST DEPTFORD,"636 KINGS HIGHWAY, SUITE C", ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 845-9666,(856) 845-5666,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1130,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1130,INSPIRA HEALTH CENTER BRIDGETON,INSPIRA HEALTH CENTER BRIDGETON,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 575-4500,(856) 455-5532,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1493,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1493,INSPIRA HEALTH CENTER WOODBURY,INSPIRA HEALTH CENTER WOODBURY,509 NORTH BROAD STREET, ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 845-0100,(856) 384-1906,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1285,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1285,INSPIRA IMAGING CENTER DELSEA,INSPIRA IMAGING CENTER DELSEA,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 696-7979,(856) 696-7961,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1443,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1443,INSPIRA IMAGING CENTER GLASSBORO,INSPIRA IMAGING CENTER GLASSBORO,200 ROWAN BOULEVARD, ,GLASSBORO,NJ,08028,"GLASSBORO, NJ  08028",GLOUCESTER,(856) 595-9110,(856) 595-9150,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1456,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1456,INSPIRA IMAGING CENTER HADDON TOWNSHIP,INSPIRA IMAGING CENTER HADDON TOWNSHIP,400 W CUTHBERT BOULEVARD, ,CAMDEN,NJ,08108,"CAMDEN, NJ  08108",CAMDEN,(856) 559-4275,(856) 497-5205,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1196,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1196,INSPIRA IMAGING CENTER SOUTH DELSEA,INSPIRA IMAGING CENTER SOUTH DELSEA,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 285-7777,(856) 825-5576,kerslakedd@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ24465,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1390,INSPIRA IMAGING CENTER TOMLIN STATION,INSPIRA IMAGING CENTER TOMLIN STATION,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 241-2555,(856) 241-2575,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1278,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1278,INSPIRA IMAGING CENTER WEST SHERMAN MRI,INSPIRA IMAGING CENTER WEST SHERMAN MRI,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 563-0402,(856) 563-1240,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ24448,AMBULATORY CARE FACILITY,24448,INSPIRA LIFE-VINELAND,INSPIRA LIFE-VINELAND,2445 S DELSEA DRIVE, ,VINELAND,NJ,08360,"VINELAND, NJ  08360",CUMBERLAND,(856) 418-5433,(856) 696-4216,rossia@ihn.org,4/30/2021,"INSPIRA HEALTH NETWORK LIFE, INC",2445 S DELSEA DRIVE,"VINELAND, NJ  08360",,Ms. JILL VIGGIANO,DIRECTOR,6/17/2020,
NJ310069,GENERAL ACUTE CARE HOSPITAL,11701,INSPIRA MEDICAL CENTER ELMER,INSPIRA MEDICAL CENTER ELMER,501 WEST FRONT STREET, ,ELMER,NJ,08318,"ELMER, NJ  08318",SALEM,(856) 363-1000,(856) 358-3248,kerslaked@ihn.org,9/30/2020,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,96
NJ10803,GENERAL ACUTE CARE HOSPITAL,10803,INSPIRA MEDICAL CENTER MULLICA HILL,INSPIRA MEDICAL CENTER MULLICA HILL,700 MULLICA HILL ROAD, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 111-1111,          ,WOLANP@IHN.ORG,11/30/2020,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ310032,GENERAL ACUTE CARE HOSPITAL,10603,INSPIRA MEDICAL CENTERS VINELAND,INSPIRA MEDICAL CENTER VINELAND,1505 W SHERMAN AVE, ,VINELAND,NJ,08360,"VINELAND, NJ  08360",CUMBERLAND,(856) 641-8000,(856) 641-7632,diangeloj@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,114
NJ1184,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1184,INSPIRA MEDICAL GROUP FAMILY MEDICINE WOODBURY,INSPIRA MEDICAL GROUP FAMILY MEDICINE WOODBURY,75 RED BANK AVENUE, ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 853-2055,(856) 848-2879,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1137,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1137,INSPIRA PRENATAL CARE WOODBURY,INSPIRA PRENATAL CARE WOODBURY,543 NORTH BROAD STREET, ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 853-2137,(956) 686-0536,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1476,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1476,INSPIRA RADIATION THERAPY WOODBURY,INSPIRA RADIATION THERAPY WOODBURY,54 OAK STREET, ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 853-2175,          ,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1272,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1272,INSPIRA REHAB CARE ELMER,INSPIRA REHAB CARE ELMER,445 WEST FRONT STREET, ,ELMER,NJ,08318,"ELMER, NJ  08318",SALEM,(856) 521-0175,(856) 521-0188,franceschinid@ihn.org,9/30/2020,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ24238,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1238,INSPIRA SLEEP CENTER ELMER,INSPIRA SLEEP CENTER ELMER,445 WEST FRONT STREET, ,ELMER,NJ,08318,"ELMER, NJ  08318",SALEM,(856) 853-2131,(856) 641-7711,rodriguezg@sjhs.com,9/30/2020,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ23439,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1282,INSPIRA SLEEP CENTER VINELAND,INSPIRA SLEEP CENTER VINELAND,165 BRIDGETON PIKE, ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 853-2131,(856) 793-4198,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1183,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1183,INSPIRA SLEEP CENTER WOODBURY,INSPIRA SLEEP CENTER WOODBURY,75 RED BANK AVENUE, ,WOODBURY,NJ,08096,"WOODBURY, NJ  08096",GLOUCESTER,(856) 853-2131,(856) 793-4198,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1269,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1269,INSPIRA WOMEN'S HEALTH CENTER MULLICA HILL COMMONS,INSPIRA WOMEN'S HEALTH CENTER MULLICA HILL COMMONS,"155 BRIDGETON PIKE, SUITE C", ,MULLICA HILL,NJ,08062,"MULLICA HILL, NJ  08062",GLOUCESTER,(856) 223-0500,(856) 223-1098,kerslaked@ihn.org,1/31/2021,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJ1182,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1182,INSPIRA WOUND CARE ELMER,INSPIRA WOUND CARE ELMER,501 FRONT STREET, ,ELMER,NJ,08318,"ELMER, NJ  08318",SALEM,(856) 686-5101,(856) 686-5093,scharfr@ihn.org,9/30/2020,"INSPIRA MEDICAL CENTERS, INC",165 BRIDGETON PIKE,"MULLICA, NJ  08062",Non-Profit - Hospital,Mr. JOHN DI ANGELO,,6/17/2020,
NJR24683,SURGICAL PRACTICE,R24683,"INTEGRAMED MEDICAL NEW JERSEY, L.L.C.","INTEGRAMED MEDICAL NEW JERSEY, LLC","171 STATE ROUTE 173, SUITE 301", ,ASBURY,NJ,08802,"ASBURY, NJ  08802",WARREN,(908) 781-0666,(908) 238-5197,kellyb@sherinstitute.com,5/31/2018,"INTEGRAMED MEDICAL NEW JERSEY, L.L.C.","171 STATE ROUTE 173, SUITE 301","ASBURY PARK, NJ  08802",,Ns. BRENDA KELLY,,6/17/2020,
NJ23116,AMBULATORY SURGICAL CENTER,23116,"INTEGRATED SPECIALTY ASC, LLC","INTEGRATED SPECIALTY ASC, LLC",190 MIDLAND AVENUE, ,SADDLE BROOK,NJ,07663,"SADDLE BROOK, NJ  07663",BERGEN,(862) 247-8080,(862) 247-8084,BMCCABE@INTEGRATEDSPECIALTYASC.COM,2/28/2021,"INTEGRATED SPECIALTY ASC, LLC",190 MIDLAND AVENUE,"SADDLE BROOK, NJ  07663",Profit - LLC,Ms. BETTY MCCABE,,6/17/2020,
NJ31C0001129,SURGICAL PRACTICE,R24534,"IRONBOUND ENDO-SURGICAL CENTER, PA",IRONBOUND ENDO-SURGICAL CENTER,24-28 MERCHANT STREET, ,NEWARK,NJ,07105,"NEWARK, NJ  07105",ESSEX,(973) 344-5883,(973) 344-5581,OMOLINA@MULBERRYASC.COM,7/5/2020,"IRONBOUND ENDOSURGICAL CENTER, P.A.",24-28 MERCHANT STREET,"NEWARK, NJ  07105",,Mr. OSCAR MOLINA,,6/17/2020,
NJ24080,AMBULATORY CARE FACILITY,24080,IRONBOUND OPEN MRI,IRONBOUND OPEN MRI,119-137 CLIFFORD STREET, ,NEWARK,NJ,07102,"NEWARK, NJ  07102",ESSEX,(973) 508-1400,(973) 522-2009,ironboundmri@aol.com,1/31/2021,"IRONBOUND MRI, LLC",119-137 CLIFFORD STREET,"NEWARK, NJ  07105",Profit - LLC,Mr.. MICHAEL DAVIT,,6/17/2020,
NJ25095,END STAGE RENAL DIALYSIS,25095,IRVINGTON DIALYSIS,IRVINGTON DIALYSIS,"468 CHANCELLOR AVENUE, SUITE WS-3", ,IRVINGTON,NJ,07111,"IRVINGTON, NJ  07111",ESSEX,(973) 373-0294,          ,ling.chang@davita. com,4/30/2021,"BUCKHORN DIALYSIS, LLC",2000 16TH STREET,"DENVER, CO  07111",,Ms. LING CHANG,,6/17/2020,
NJ23000,AMBULATORY CARE FACILITY,23000,IRVINGTON MEDICAL IMAGING CENTER,IRVINGTON MEDICAL IMAGING CENTER,277-285 COIT STREET, ,IRVINGTON,NJ,07111,"IRVINGTON, NJ  07111",ESSEX,(973) 351-1277,(973) 373-0510,dadeoti@msn.com,2/28/2021,"NEWARK IMAGING CENTER, INC.",277-285 COIT,"NEWARK, NJ  07102",,Dr. ADEKUNLE ADEOTI,,6/17/2020,
NJ24918,AMBULATORY SURGICAL CENTER,24918,JACKSON SURGERY CENTER,JACKSON SURGERY CENTER,"27 SOUTH COOKS BRIDGE ROAD, SUITE L2", ,JACKSON,NJ,08527,"JACKSON, NJ  08527",OCEAN,(732) 928-1099,          ,mnoseworthy@uspi.com,8/31/2020,"JACKSON SURGICAL CENTER, L.L.C.","27 SOUTH COOKS BRIDGE ROAD, SUITE L2","JACKSON, NJ  08527",Profit - LLC,Ms. AMY BUSSIE,,6/17/2020,
NJ24984,END STAGE RENAL DIALYSIS,24984,JACKSON TOWNSHIP DIALYSIS,JACKSON TOWNSHIP DIALYSIS,"260 NORTH COUNTY LINE ROAD, SUITE 120", ,JACKSON,NJ,08527,"JACKSON, NJ  08527",OCEAN,(732) 364-2055,(732) 901-1905,Karen.wood@davita.com,8/31/2020,"RONAN DIALYSIS, LLC",2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,Mr. JOHN WILCZEWSKI,,6/17/2020,
NJR24377,SURGICAL PRACTICE,R24377,JAMES F MC GUCKIN MD OF NJ PA,JAMES F MC GUCKIN MD OF NJ PA,"347 MOUNT PLEASANT AVENUE, SUITE 100", ,WEST ORANGE,NJ,07052,"WEST ORANGE, NJ  07052",ESSEX,(973) 325-0042,(856) 307-1200,mthompson@vascularcenters.com,7/31/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,6/17/2020,
NJR24378,SURGICAL PRACTICE,R24378,"JAMES F MC GUCKIN MD OF NJ, PA",JAMES F MC GUCKIN MD OF NJ PA,"4622 BLACK HORSE PIKE, SUITE 102", ,MAYS LANDING,NJ,08330,"MAYS LANDING, NJ  08330",ATLANTIC,(609) 829-3285,(609) 828-3291,JMcGuckin@vascularcenters.com,7/31/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. KAREN MAC AINSH,R.N.,6/17/2020,
NJR24548,SURGICAL PRACTICE,R24548,"JAMES F MC GUCKIN MD OF NJ, PA","JAMES F MC GUCKIN MD OF NJ,PA","20 GIBSON PLACE, SUITE 205", ,FREEHOLD,NJ,07728,"FREEHOLD, NJ  07728",MONMOUTH,(215) 382-3680,(215) 382-3683,lbrown@vascularcenters.com,6/30/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,6/17/2020,
NJR24645,SURGICAL PRACTICE,R24645,"JAMES F MCGUCKIN MD OF NJ, PA","JAMES F MCGUCKIN MD OF NJ, PA","1450 PARKSIDE AVENUE, UNIT 18", ,TRENTON,NJ,08638,"TRENTON, NJ  08638",MERCER,(609) 882-1770,(609) 882-8406,JMCGUCKIN@VASCULARCENTERS.COM,3/31/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,6/17/2020,
NJR24588,SURGICAL PRACTICE,R24588,"JAMES F MCGUCKIN, M.D., P.A.","JAMES F MCGUCKIN, MD, PA","1 WILLS WAY,  CENTRAL NJ MEDICAL PARK", ,PISCATAWAY,NJ,08854,"PISCATAWAY, NJ  08854",MIDDLESEX,(732) 529-0223,(732) 592-0225,mthompson@vascularcenters.com,12/31/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,6/17/2020,
